ContainerID,cycle_duration_days,Avg_Dist,Spearman,collection_fill_percentage,avg_daily_fill_growth,overflow_flag
10073,1,71.66666666666667,34.78626213914691,61.0,61.0,0
10073,2,100.0,100.0,57.5,28.75,0
10073,0,100.0,100.0,62.0,inf,0
10073,0,97.33333333333331,50.0,62.0,inf,0
10073,1,96.66666666666669,72.53886024843689,60.0,60.0,0
10073,16,100.0,86.60254037844388,79.0,4.9375,0
10073,1,78.38095238095238,77.65513509608103,79.0,79.0,0
10073,9,77.9375,63.01885472158446,100.0,11.11111111111111,1
10073,12,40.351851851851855,25.335161712131228,81.0,6.75,1
10073,30,94.8,87.2081599272381,70.0,2.3333333333333335,0
10073,1,78.16666666666667,52.17939320872035,59.0,59.0,0
10073,1,100.0,86.60254037844388,63.0,63.0,0
10073,0,75.6,15.389675281277311,62.0,inf,0
10073,2,100.0,100.0,55.5,27.75,0
10073,0,85.16666666666667,38.25184261187248,58.0,inf,0
10073,3,43.027027027027025,6.457805511749096,54.5,18.166666666666668,0
10073,51,74.80645161290323,28.809964676729795,59.5,1.1666666666666667,0
10073,43,93.95238095238096,71.81842611124554,58.0,1.3488372093023255,0
10073,21,98.66666666666669,86.96565534786727,52.0,2.4761904761904763,0
10073,35,94.57142857142856,95.71609946305426,69.5,1.9857142857142858,0
10073,31,93.15,55.09651939370418,71.0,2.2903225806451615,0
10073,25,91.46428571428572,88.63464178831548,10.5,0.42,0
10073,50,92.0,75.38086787175358,75.5,1.51,0
10073,34,71.55,67.42224984914928,53.0,1.5588235294117647,0
10073,17,84.125,64.65106734154298,55.5,3.264705882352941,0
10076,0,64.7843137254902,69.64909331514616,77.0,inf,0
10076,30,74.16,62.5894593523303,100.0,3.3333333333333335,1
10076,15,76.5,86.10903537261547,37.5,2.5,0
10076,11,83.375,86.82079549420268,100.0,9.090909090909092,1
10076,14,77.0,53.629161437801166,59.0,4.214285714285714,0
10076,3,83.25,91.32850456169692,67.5,22.5,0
10076,7,91.6470588235294,85.99827866735133,100.0,14.285714285714286,1
10076,11,91.76190476190476,93.20796123421816,100.0,9.090909090909092,1
10076,31,86.09302325581396,92.33906274562814,100.0,3.225806451612903,1
10076,32,78.20588235294117,41.972765902510936,73.5,2.296875,0
10076,30,100.0,100.0,72.0,2.4,0
10076,0,52.868852459016395,-26.89332442948624,61.0,inf,0
10076,37,88.25,70.84319137344926,56.5,1.527027027027027,0
10076,17,95.95,89.58214220953394,74.0,4.352941176470588,0
10076,36,82.0,78.94879284845034,57.5,1.5972222222222223,0
10076,21,82.08571428571429,45.92783622547495,61.5,2.9285714285714284,0
10076,28,95.64864864864865,77.47884415456444,49.0,1.75,0
10076,34,96.86666666666666,94.92890318311922,52.0,1.5294117647058822,0
10076,53,91.89285714285714,81.0040581877445,73.5,1.3867924528301887,0
10076,24,84.17391304347827,70.65183418841204,47.5,1.9791666666666667,0
10076,35,84.97222222222223,87.07484649610096,53.0,1.5142857142857142,0
10076,28,85.86842105263158,91.96044132253084,68.0,2.4285714285714284,0
10076,28,99.67647058823528,91.34930475942734,62.5,2.232142857142857,0
10076,32,89.86111111111111,93.68015542588624,50.0,1.5625,0
10076,24,93.06451612903226,94.59978108587802,100.0,4.166666666666667,1
10076,25,83.33333333333333,75.96032309393595,60.5,2.42,0
10076,14,57.97619047619048,78.9366206120522,58.0,4.142857142857143,0
10076,28,84.92307692307692,49.63711518571303,84.5,3.017857142857143,1
10076,21,96.34375,78.03313033618447,52.0,2.4761904761904763,0
10076,32,81.18181818181819,64.26961458176102,9.0,0.28125,0
10076,45,98.28571428571428,83.65019125713043,55.5,1.2333333333333334,0
10076,4,83.25,29.578198238567943,63.0,15.75,0
10076,6,86.66666666666667,44.13674147523747,51.0,8.5,0
10076,1,79.17857142857143,71.11013633488396,51.0,51.0,0
10076,14,83.55,66.17272752934748,72.0,5.142857142857143,0
10076,14,78.16666666666667,60.106283586212896,61.0,4.357142857142857,0
10076,7,100.0,100.0,45.5,6.5,0
10076,0,94.55555555555556,49.145165815992776,29.0,inf,0
10076,22,48.958333333333336,-1.0032769066525549,64.0,2.909090909090909,0
10076,12,75.0,46.22534556135241,57.5,4.791666666666667,0
10076,4,90.33333333333331,89.6163105714996,64.0,16.0,0
10076,28,81.92,76.01600975202786,56.0,2.0,0
10076,17,98.24,64.81921914256257,75.5,4.4411764705882355,0
10076,23,97.13636363636364,86.52648115275291,31.0,1.3478260869565217,0
10076,22,76.95,69.40817064100287,31.0,1.4090909090909092,0
10076,6,82.56410256410257,85.16566108837647,68.0,11.333333333333334,0
10076,28,84.95,90.66500933699506,100.0,3.5714285714285716,1
10076,14,84.75,93.09645383979948,50.0,3.5714285714285716,0
10077,0,90.84347826086956,81.13206179863136,100.0,inf,1
10077,100,91.3793103448276,86.94266097927019,50.0,0.5,0
10077,76,77.52941176470588,19.38740497744293,53.5,0.7039473684210527,0
10077,40,87.92307692307692,16.746502951079737,37.5,0.9375,0
10077,9,95.06349206349206,69.1114423992741,30.0,3.3333333333333335,0
10077,59,94.34883720930232,63.71454400911928,50.5,0.8559322033898306,0
10077,38,64.81944444444444,73.43865936575004,62.0,1.631578947368421,0
10077,59,96.61111111111111,73.40490487817492,77.0,1.305084745762712,0
10077,31,97.29729729729728,95.22982942099404,72.0,2.3225806451612905,0
10077,28,99.7608695652174,95.76863952900432,35.0,1.25,0
10077,42,90.825,47.36748547994458,66.0,1.5714285714285714,0
10077,35,71.72727272727272,49.22156637817691,56.0,1.6,0
10077,19,77.92771084337349,80.75636328303328,72.0,3.789473684210526,0
10077,48,89.98,78.81779826942079,100.0,2.0833333333333335,1
10077,38,97.64444444444445,91.96241603931428,54.0,1.4210526315789473,0
10077,36,98.0,81.40824433897139,58.5,1.625,0
10077,35,100.0,86.60254037844388,40.0,1.1428571428571428,0
10077,49,90.82978723404256,91.9650116408094,30.0,0.6122448979591837,0
10077,105,96.57142857142856,79.49191914620265,100.0,0.9523809523809523,1
10077,21,96.05263157894736,94.071766959342,100.0,4.761904761904762,1
10077,17,94.42857142857144,92.20518128616663,45.5,2.676470588235294,0
10077,46,88.6046511627907,90.83956220443812,70.0,1.5217391304347827,0
10077,28,96.17647058823528,86.98534642823914,64.5,2.3035714285714284,0
10078,0,88.11111111111111,87.0257738278001,56.0,inf,0
10078,28,72.12,69.88449190331613,34.5,1.2321428571428572,0
10078,42,77.26027397260273,75.36340695058253,64.0,1.5238095238095237,0
10078,49,62.75806451612903,62.0616548461398,69.0,1.4081632653061225,0
10078,22,95.6923076923077,51.12449912311524,90.0,4.090909090909091,1
10078,12,86.89285714285714,69.65636778402555,58.0,4.833333333333333,0
10078,18,83.33333333333333,78.35361894996309,48.0,2.6666666666666665,0
10078,32,81.625,51.234753829797995,42.0,1.3125,0
10078,4,92.66666666666669,50.0,47.0,11.75,0
10078,1,100.0,77.45966692414834,35.0,35.0,0
10078,3,82.08064516129032,60.45809636428226,35.0,11.666666666666666,0
10078,47,80.125,70.65994945288227,54.0,1.148936170212766,0
10078,2,80.72222222222223,72.9218557055994,64.0,32.0,0
10078,24,74.0,19.278507708475196,70.0,2.9166666666666665,0
10078,1,74.27272727272728,57.9605489255633,67.0,67.0,0
10078,38,82.5,70.30251714979785,86.0,2.263157894736842,1
10078,27,90.34615384615384,72.24550645998124,72.5,2.685185185185185,0
10078,46,95.0,36.63806339329575,50.5,1.0978260869565217,0
10078,9,72.8,26.801813713575772,38.0,4.222222222222222,0
10078,2,100.0,86.60254037844388,38.0,19.0,0
10078,0,100.0,100.0,38.0,inf,0
10078,0,100.0,86.60254037844388,38.0,inf,0
10078,1,81.0,60.12146850087665,38.0,38.0,0
10078,25,87.96666666666667,84.00989152602777,88.5,3.54,1
10078,25,73.65384615384616,46.52299841091037,74.0,2.96,0
10078,29,80.9090909090909,55.37887933587765,37.0,1.2758620689655173,0
10078,3,88.27272727272728,3.4791871296330052,47.0,15.666666666666666,0
10078,6,100.0,94.8683298050514,46.5,7.75,0
10078,2,90.6,87.39495859532623,61.0,30.5,0
10078,5,72.65,52.851590704313246,71.5,14.3,0
10078,12,92.4390243902439,89.89400757319319,50.0,4.166666666666667,0
10078,36,82.5,69.82532518267539,53.0,1.4722222222222223,0
10078,1,73.63265306122449,78.5447015031531,81.0,81.0,1
10078,21,75.9375,52.0513247378934,65.0,3.0952380952380953,0
10078,15,73.58333333333333,18.187482407803305,66.0,4.4,0
10078,15,100.0,89.44271909999158,48.5,3.2333333333333334,0
10078,2,100.0,100.0,53.0,26.5,0
10078,1,100.0,86.60254037844388,51.0,51.0,0
10078,1,73.8,8.537388878740078,51.0,51.0,0
10078,8,80.70731707317073,87.64144966980508,48.0,6.0,0
